Rank,Time,Athlete,Country,Meet Name,Date,Location
30,4:36.80,Pamela Kruse,USA,,6/30/1967,Ft. Lauderdale
31,4:38.00,Martha Randall,USA,,8/26/1965,Monaco
32,4:39.20,Martha Randall,USA,,8/14/1965,Maumee
,,,,,,
Men's 800 FR LCM,,,,,,
1,7:32.12,Zhang Lin,CHN,2009 World Champs ,7/29/2009,Rome
2,7:38.65,Grant Hackett,AUS,2005 World Champs,7/24/2005,Montreal
3,7:39.16,Ian Thorpe,AUS,2001 World Champs,7/22/2001,Fukuoka
4,7:41.59,Ian Thorpe,AUS,,3/26/2001,Hobart
5,7:46.00,Kieren Perkins,AUS,,8/24/1994,Victoria
1/20/2020 7:18:32 AM,,,Highlighted Record ,,,7
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Men's 800 FR LCM,,,,,,
6,7:46.60,Kieren Perkins,AUS,,2/14/1992,Sydney
7,7:47.85,Kieren Perkins,AUS,,8/25/1991,Edmonton
8,7:50.64,Vladimir Salnikov,RUS,,7/4/1986,Moscow
9,7:52.33,Vladimir Salnikov,RUS,,7/14/1983,Los Angeles
10,7:52.83,Vladimir Salnikov,RUS,,2/14/1982,Moscow
11,7:56.49,Vladimir Salnikov,RUS,,3/23/1979,Minsk
12,8:01.54,Bobby Hackett,USA,,6/21/1976,Long Beach
13,8:02.91,Stephen Holland,AUS,,2/29/1976,Sydney
14,8:06.27,Stephen Holland,AUS,,2/27/1976,Sydney
15,8:09.60,Tim Shaw,USA,,7/13/1975,Mission Viejo
16,8:13.68,Tim Shaw,USA,,6/21/1975,Long Beach
17,8:15.02,Stephen Holland,AUS,,1/25/1975,Christchurch
18,8:15.20,Stephen Holland,AUS,,1/17/1975,Brisbasne
19,8:15.88,Stephen Holland,AUS,,1/1/1974,Christchuch
20,8:16.27,Stephen Holland,AUS,,9/8/1973,Belgrade
21,8:17.60,Stephen Holland,AUS,,8/5/1973,Brisbane
22,8:23.80,Brad Cooper,AUS,,1/12/1972,Sydney
23,8:28.60,Graham Windeatt,AUS,,4/3/1971,Sydney
24,8:28.80,Mike Burton,USA,,8/11/1969,Louisville
25,8:34.30,Mike Burton,USA,,9/3/1968,Long Beach
26,8:42.00,Francis Luyce,FRA,,7/21/1967,Dinard
27,8:46.80,Alain Mosconi,FRA,,7/5/1967,Monaco
28,8:47.30,John Bennett,AUS,,1/16/1967,Sydney
29,8:47.40,Semyon Belitz-Geyman,RUS,,8/3/1966,Kharkov
30,8:51.50,Murray Rose,AUS,,8/26/1962,Los Altos
,,,,,,
Women's 800 FR LCM,,,,,,
1,8:04.79,Katie Ledecky,USA,2016 Olympic Games,8/12/2016,Rio
2,8:06.68,Katie Ledecky,USA,2016 ST Arena Pro Swim at Austin,1/17/2016,Austin
3,8:07.39,Katie Ledecky,USA,2015 World Champs,8/8/2015,Kazan
4,8:11.00,Katie Ledecky,USA,2014 Woodlands Senior Invite,6/22/2014,Shenandoah
5,8:13.86,Katie Ledecky,USA,2013 World Champs,8/3/2013,Barcelona
6,8:14.10,Rebecca Adlington,GBR,2008 Olympic Games,8/16/2008,Beijing
7,8:16.22,Janet Evans,USA,1989 Pan Pacific Games,8/20/1989,Tokyo
8,8:17.12,Janet Evans,USA,,3/22/1988,Orlando
9,8:19.53,Anke Mohring,GDR,,8/19/1987,Strasbourg
10,8:22.44,Janet Evans,USA,,7/27/1987,Clovis
11,8:24.62,Tracey Wickham,AUS,,8/5/1978,Edmonton
12,8:30.53,Tracey Wickham,AUS,,2/21/1978,Brisbane
13,8:31.30,Michelle Ford,AUS,,1/21/1978,Sydney
14,8:34.86,Michelle Ford,AUS,,1/6/1978,Brisbane
15,8:35.04,Petra Thumer,GDR,,7/9/1977,Laipzig
16,8:37.14,Petra Thumer,GDR,,7/25/1976,Montreal
17,8:39.63,Shirley Babashoff,USA,,6/21/1976,Long Beach
18,8:40.68,Petra Thumer,GDR,,6/4/1976,Berlin
19,8:43.48,Jennifer Turrall,AUS,,3/31/1975,London
20,8:47.50,Jo Ann Harshbarger,USA,,8/25/1974,Concord
21,8:47.66,Jo Ann Harshbarger,USA,,8/25/1974,Concord
22,8:50.10,Jennifer Turrall,AUS,,1/5/1974,Sydney
23,8:52.97,Novella Calligaris,ITA,,9/9/1973,Beograd
1/20/2020 7:18:32 AM,,,Highlighted Record ,,,8
,,,,,,
Rank,Time,Athlete,Swimmer,Meet Name,Swim,Location
,,,Country,,Date,City
Women's 800 FR LCM,,,,,,
24,8:53.68,Keena Rothhammer,USA,,9/3/1972,Munich
25,8:53.83,Jo Ann Harshbarger,USA,,8/6/1972,Chicago
26,8:58.10,Shane Gould,AUS,,12/3/1971,Sydney
27,8:59.37,Ann Simmons,USA,,9/10/1971,Minsk
28,9:02.45,Karen Moras,AUS,,7/18/1970,Edinburgh
29,9:09.10,Karen Moras,AUS,,3/1/1970,Sydney
30,9:10.36,Deborah Meyer,USA,,8/28/1968,Long Beach
31,9:17.80,Deborah Meyer,USA,,8/4/1968,Lincoln
32,9:19.00,Deborah Meyer,USA,,7/21/1968,Los Angeles
33,9:22.90,Deborah Meyer,USA,,7/29/1967,Winnipeg
34,9:35.80,Deborah Meyer,USA,,7/9/1967,Santa Clara
35,9:36.90,Sharon Finneran,USA,,9/28/1964,Los Angeles
36,9:47.30,Patty Caretto,USA,,7/30/1964,Los Altos
37,9:51.60,Carolyn House,USA,,8/26/1962,Los Altos
38,9:55.60,Jane Cederquist,SWE,,8/17/1960,Uppsala
,,,,,,
Men's 1500 FR LCM,,,,,,
1,14:31.02,Sun Yang,CHN,2012 Olympic Games,8/4/2012,London
2,14:34.14,Sun Yang,CHN,2011 World Champs,7/31/2011,Shanghai
3,14:34.56,Grant Hackett,AUS,2001 World Champs,7/29/2001,Fukuoka
4,14:41.66,Kieren Perkins,AUS,,8/24/1994,Victoria
5,14:43.48,Kieren Perkins,AUS,,7/31/1992,Barcelona
6,14:48.40,Kieren Perkins,AUS,,4/5/1992,Canberra
7,14:50.36,Jorg Hoffmann,GER,,1/13/1991,Perth
8,14:54.76,Vladimir Salnikov,RUS,,2/22/1983,Moscow
9,14:56.35,Vladimir Salnikov,RUS,,3/13/1982,Moscow
10,14:58.27,Vladimir Salnikov,RUS,,7/22/1980,Moscow
11,15:02.40,Brian Goodell,USA,,7/20/1976,Montreal
12,15:06.66,Brian Goodell,USA,,6/21/1976,Long Beach
13,15:10.89,Stephen Holland,AUS,,2/27/1976,Sydney
14,15:20.91,Tim Shaw,USA,,6/21/1975,Long Beach
15,15:27.79,Stephen Holland,AUS,,1/25/1975,Christchurch
16,15:31.75,Tim Shaw,USA,,8/25/1974,Concord
17,15:31.85,Stephen Holland,AUS,,9/9/1973,Belgrade
18,15:37.80,Stephen Holland,AUS,,8/5/1973,Brisbane
19,15:52.58,Mike Burton,USA,,9/4/1972,Munich
20,15:52.91,Rick DeMont,USA,,8/6/1972,Chicago
21,15:57.10,John Kinsella,USA,,8/23/1970,Los Angeles
22,16:04.50,Mike Burton,USA,,8/17/1969,Louisville
23,16:08.50,Mike Burton,USA,,9/3/1968,Long Beach
24,16:28.10,Guillermo Echevarria,MEX,,7/7/1968,Santa Clara
25,16:34.10,Mike Burton,USA,,8/13/1967,Oak Park
26,16:41.60,Mike Burton,USA,,8/21/1966,Lincoln
27,16:58.60,Stephen Krause,USA,,8/15/1965,Maumee
28,16:58.70,Roy Saari,USA,,9/2/1964,New York
,,,,,,
Women's 1500 FR LCM,,,,,,
